caso,nodo_u,nodo_v,dist_km,SKR_bits_pulso,viable_QKD
España,Abrucena,Nevada,24.462381521558072,0.006099205447586284,True
España,Abrucena,Roquetas de Mar,44.08595240513935,0.0024626742569613656,True
España,Abrucena,Tíjola,39.50422137760259,0.003043005868055805,True
España,Abrucena,Tabernas,37.05569566651334,0.0034074074843510743,True
España,Abrucena,Cádiar,39.8438534323426,0.0029956421547160913,True
España,Abrucena,Caniles,34.35696460764462,0.0038599062499207627,True
España,Abrucena,Purullena,40.40957652945709,0.0029183820141104443,True
España,Abrucena,Freila,45.049614986111834,0.0023554907212866567,True
España,Abrucena,Valle del Zalabí,25.32683897709972,0.005860056488812371,True
España,Abrucena,Jerez del Marquesado,32.641063310885336,0.00417845435338536,True
España,Berja,Benahadux,44.791304543234716,0.002383754691696204,True
España,Berja,Canjáyar,26.024337700048157,0.005673974197925424,True
España,Berja,Ejido (El),14.528264344648296,0.009663541504123494,True
España,Berja,Nevada,18.091103435169842,0.00819219233542929,True
España,Berja,Roquetas de Mar,31.150110081973423,0.0044765689481909635,True
España,Berja,Polopos,31.464082505682477,0.004412066967335313,True
España,Berja,Cádiar,23.38294259971847,0.006411634281420687,True
España,Berja,Jerez del Marquesado,41.913510838881315,0.0027225556566708694,True
España,Berja,Órgiva,42.666435236243125,0.002629516091311989,True
España,Arboleas,Vera,21.59224034260845,0.006965784718337441,True
España,Arboleas,Turre,27.1746432979541,0.005379953565769414,True
España,Arboleas,Olula del Río,19.735044122275024,0.007591416875199747,True
España,Arboleas,Carboneras,42.431182546736586,0.002658239367934116,True
España,Arboleas,Oria,24.548182698692298,0.006075037274739398,True
España,Arboleas,Uleila del Campo,21.583678980939474,0.006968546510353328,True
España,Arboleas,Vélez-Blanco,37.928561430768596,0.0032727432935167025,True
España,Arboleas,Níjar,44.3164155804364,0.0024366049791488846,True
España,Arboleas,Pulpí,29.89647008409871,0.004743680104870795,True
España,Arboleas,Tíjola,32.230654581303234,0.004258471375451484,True
España,Arboleas,Tabernas,43.71594634866952,0.0025051133541338995,True
España,Arboleas,Águilas,44.02926933103827,0.0024691287303829097,True
España,Arboleas,Puerto Lumbreras,33.18434028280561,0.004074845505939533,True
España,Benahadux,Canjáyar,26.898873294769476,0.00544901689750843,True
España,Benahadux,Ejido (El),35.92429737039506,0.0035902528036718517,True
España,Benahadux,Gérgal,22.872137543425403,0.006565033103129081,True
España,Benahadux,Uleila del Campo,36.50920395682836,0.003494530861218757,True
España,Benahadux,Roquetas de Mar,22.88461929527783,0.006561241154212603,True
España,Benahadux,Níjar,22.583242606559505,0.006653416907987808,True
España,Benahadux,Tabernas,14.837128037429155,0.009526088253730157,True
España,Vera,Turre,10.781916107160752,0.011498765705190248,True
