red,protocolo,p,S_mean,S_std,C_median_mean,C_median_std
cyl,degree_adaptive,0.26,0.6482000000000001,0.03587143710530706,,
cyl,degree_adaptive,0.27,0.6234,0.052862463052718245,,
cyl,degree_adaptive,0.28,0.596,0.06076183012385324,,
cyl,degree_adaptive,0.29,0.5576,0.06607753022018907,,
cyl,degree_adaptive,0.3,0.5054000000000001,0.08906649201579682,0.0,0.0
cyl,degree_adaptive,0.31,0.4512,0.09659482387788697,,
cyl,degree_adaptive,0.32,0.3986,0.103518307559581,,
cyl,degree_adaptive,0.33,0.3392,0.1004358501731329,,
cyl,degree_adaptive,0.34,0.2796,0.10594262598217963,,
cyl,degree_adaptive,0.35,0.22039999999999998,0.09750815350523258,0.0,0.0
cyl,degree_adaptive,0.36,0.18760000000000002,0.09065450898879768,,
cyl,degree_adaptive,0.37,0.1594,0.07209465999642414,,
cyl,degree_adaptive,0.38,0.12380000000000001,0.05823710157622888,,
cyl,degree_adaptive,0.39,0.1024,0.04479107053866876,,
cyl,degree_adaptive,0.4,0.0852,0.028999310336626973,0.0,0.0
cyl,degree_adaptive,0.41,0.07680000000000001,0.02921917178839948,,
cyl,degree_adaptive,0.42,0.06659999999999999,0.02025931884343598,,
cyl,degree_adaptive,0.43,0.061599999999999995,0.020431348462595412,,
cyl,degree_adaptive,0.44,0.0556,0.018238420984284798,,
cyl,degree_adaptive,0.45,0.04939999999999999,0.013915459029439164,0.0,0.0
cyl,degree_adaptive,0.46,0.042800000000000005,0.01233531515608742,,
cyl,degree_adaptive,0.47,0.038400000000000004,0.010836973747315255,,
cyl,degree_adaptive,0.48,0.035800000000000005,0.010970870521521982,,
cyl,degree_adaptive,0.49,0.031200000000000002,0.009086253353280439,,
cyl,degree_adaptive,0.5,0.0282,0.008874683092933516,0.0,0.0
cyl,betweenness_adaptive,0.0,0.9952000000000001,0.005741080037762934,0.0051426741743007395,0.00023156011699039574
cyl,betweenness_adaptive,0.01,0.9842,0.006660330322138691,,
cyl,betweenness_adaptive,0.02,0.9725999999999999,0.007158212067269318,,
cyl,betweenness_adaptive,0.03,0.9603999999999998,0.00958331884056875,,
cyl,betweenness_adaptive,0.04,0.9486,0.01039422916814902,,
cyl,betweenness_adaptive,0.05,0.9372,0.010777754868245951,0.004582212422455965,0.0002841746391971596
cyl,betweenness_adaptive,0.06,0.9255999999999999,0.01202663710269831,,
cyl,betweenness_adaptive,0.07,0.9142,0.012820296408429887,,
cyl,betweenness_adaptive,0.08,0.9016,0.016044936896105276,,
cyl,betweenness_adaptive,0.09,0.8896000000000001,0.01611955334368792,,
cyl,betweenness_adaptive,0.1,0.8774,0.01874139802682821,0.0040606051459660284,0.000285078996484145
cyl,betweenness_adaptive,0.11,0.8662000000000002,0.018535371590556265,,
cyl,betweenness_adaptive,0.12,0.8545999999999999,0.019100785324169263,,
cyl,betweenness_adaptive,0.13,0.8426,0.01947408534437496,,
cyl,betweenness_adaptive,0.14,0.8290000000000001,0.021748563170931528,,
cyl,betweenness_adaptive,0.15,0.8076000000000002,0.028952374686716093,0.003500013480340696,0.00032021964616172846
cyl,betweenness_adaptive,0.16,0.7902,0.03120833222073874,,
cyl,betweenness_adaptive,0.17,0.7686,0.03893635832997227,,
cyl,betweenness_adaptive,0.18,0.7492000000000002,0.04093116172306867,,
cyl,betweenness_adaptive,0.19,0.7298,0.04287143571190497,,
cyl,betweenness_adaptive,0.2,0.7073999999999999,0.05106113982276542,0.0017813206230196058,0.0014691367283574512
cyl,betweenness_adaptive,0.21,0.6897999999999999,0.05508139431786381,,
cyl,betweenness_adaptive,0.22,0.6676000000000001,0.0611084282239365,,
cyl,betweenness_adaptive,0.23,0.6448,0.0635055903051062,,
cyl,betweenness_adaptive,0.24,0.6116,0.07341280542248742,,
